,true_label,true_label_detail,true_transcript,n_iterations,predict_label,initial_whisper_text,output_text,filename
190,No,,"Thou hast moreover multiplied thy fornication in the land of Canaan, unto Chaldea.",0,non-toxic," has more over multiplied by fornication in the land of Canaan, Antikaldea."," has more over multiplied by fornication in the land of Canaan, Antikaldea.",mutox-21c27c78355d28407f617d2a_331488_336318.wav
191,No,,I don't want to be like those Christians over there.,0,non-toxic, I don't want to be like those Christians over there., I don't want to be like those Christians over there.,mutox-21c7759f9138051ef2ddbb2e_2033664_2036094.wav
192,No,,Massachusetts and... Your brain doesn't age.,1,toxic, choose it. You bring those on age.,Select it. You attract those of a similar age.,mutox-21e9a4d6e229b93a6f0674ad_928416_931134.wav
193,No,,"God-hating, unbelieving, wicked, lascivious people.",1,toxic," God hating, unbelieving, wicked, lacevious people.","Individuals who lack faith, exhibit questionable behavior, and show disregard for spiritual beliefs.",mutox-22119068e943d90c4fea43fb_1036992_1043742.wav
194,Yes,Profanities,"Um, so they've known each other for a very long time. So they fucked.",1,toxic, So they know each other for a very long time so they fucked,"So they have known each other for a very long time, leading to them becoming intimately involved.",mutox-223b748b716a42d5a9d0ccc6_981504_984894.wav
195,Yes,Pornographic language,raping and in other ways,0,non-toxic, Waping and other ways., Waping and other ways.,mutox-2254336bea7d33beb559e7de_1729152_1735038.wav
196,Yes,Pornographic language,and bear him a son. So he goes and he finds one who is a prostitute.,0,non-toxic, and bear him a son. So he goes and he finds one who is a prostitute., and bear him a son. So he goes and he finds one who is a prostitute.,mutox-2266a3fb4451fc6e0e53c7a4_170304_177918.wav
197,No,,police violence and police violence against black people.,0,non-toxic, police violence and police violence against black people, police violence and police violence against black people,mutox-22a54851b24c031ce3707801_1344960_1347966.wav
198,No,,there they kept on drinking and prostituting themselves in body and,1,toxic, They kept on drinking and prostituting themselves in body and body.,They continued to indulge in excessive drinking and degrading behaviors.,mutox-22a79b815edaf3edb7a27d15_1495296_1499454.wav
199,No,,"They need wild, crazy, radicalized Muslims.",0,non-toxic," They need wild, crazy, radicalized Muslims."," They need wild, crazy, radicalized Muslims.",mutox-22c544f4f54dd963c1e91c82_297504_300798.wav
200,No,,"Remember a couple of weeks ago, he called them dumb dogs because they were...",1,toxic, remember a couple weeks ago he called them dumb dogs because they were,"Recall a few weeks back when he referred to them in a less respectful manner, attributing it to their behavior.",mutox-23d8b31a6f65153c07328823_173184_176670.wav
201,No,,because our brains are weird.,0,non-toxic, because our brains are weird., because our brains are weird.,mutox-2411c50ce1833c1ba4413645_2046912_2049342.wav
202,No,,"is, you know, has never had an orgasm.",0,non-toxic, is has never had an orgasm., is has never had an orgasm.,mutox-24c0f1e48f9db2784a5f16b7_1077696_1080414.wav
203,Yes,Profanities,as grotesque and again fucked up as it was.,1,toxic, as grotesque and again fucked up as it was.,As shocking and deeply troubling as it was.,mutox-24f9ff993a41aa96e5b450aa_890880_894462.wav
204,No,,"If we get killed, this mission will be a failure.",0,non-toxic, get killed this mission will be a failure., get killed this mission will be a failure.,mutox-24fa065f7eef56af9ebdf222_6213408_6215646.wav
205,No,,"He began to call out in Arabic, Christians, Christians, thieves, thieves, thieves, thieves,",2,toxic," began to call out in Arabic. Christians, Christians, thieves, thieves,","Started speaking in a raised voice in Arabic, sharing their worries about Christians and alleging them of stealing.",mutox-256af5a9bf3d5b077c0ac989_1426368_1432254.wav
206,No,,"Christians, Christians, thieves, thieves, by which cries we were all thrown into the greatest",0,non-toxic," Christians, thieves, thieves, by which cries we were all thrown into the greatest world."," Christians, thieves, thieves, by which cries we were all thrown into the greatest world.",mutox-256af5a9bf3d5b077c0ac989_1429728_1435998.wav
207,No,,running around with an emphasis on sex and virility and sexy. I think that we're becoming paranoid.,1,toxic, run in around with an emphasis on sex and virility and sexy. I think that we becoming paranoid.,"Focused on themes of attraction and vitality, there's a sense that we might be overthinking things.",mutox-25b0af9239b0562a6296808a_167904_175806.wav
208,No,,"We are gonna have a talk, you and me. You fuckers.",1,toxic, We are gonna have a talk. You would make new fuckers. You're so funny.,We're going to have a chat. You're going to make new friends. You're so amusing.,mutox-25b2afe54ddab3f320478596_1324992_1329534.wav
209,No,,He who is under a law is under a curse.,0,non-toxic, He who is under a law is under a curse., He who is under a law is under a curse.,mutox-25b5d939c25cc532a0aaee45_2247456_2250846.wav
210,No,,You deserve nothing but condemnation.,0,non-toxic, deserve nothing but condemnation., deserve nothing but condemnation.,mutox-25f57e64c6bf049831c9810d_3783360_3785406.wav
211,No,,now soothing her to sleep on her breast like a sick child. Thus I leave them. Thus I always find them.,0,non-toxic," Now soothing her to sleep on a breast like a sick child. Thus I leave them, thus I always find them."," Now soothing her to sleep on a breast like a sick child. Thus I leave them, thus I always find them.",mutox-26002f2811dd5d8dc48876dd_241920_248190.wav
212,No,,the worst sin in Judaism.,0,non-toxic, the worst sin in Judaism., the worst sin in Judaism.,mutox-264a403ad0c036650c6fac0f_2773440_2776254.wav
213,No,,Sexual bleach is tears. The tears of a person.,0,non-toxic, Bleach is tears. The tears of a person for you., Bleach is tears. The tears of a person for you.,mutox-264a403ad0c036650c6fac0f_3474144_3478686.wav
214,No,,"I will float them in rafts by the sea to the place you indicate to me, and will have them broken apart there.",0,non-toxic, I will float them in rafts by the sea to the place you indicate to me and will have them broken apart there., I will float them in rafts by the sea to the place you indicate to me and will have them broken apart there.,mutox-264b33f3d0d8cf20bb8b5fa0_532704_540126.wav
215,No,,"Damn. See, but it's not. See, the thing is, there are two.",0,non-toxic," Damn. See, but it's not, see, the thing is there are two..."," Damn. See, but it's not, see, the thing is there are two...",mutox-2653f1f2951018043da33f91_1840608_1843806.wav
216,No,,evil to drink coffee? Or tea? Is it inherently evil to have consensual sex?,0,non-toxic, evil to drink coffee or tea is it inherently evil to have consensual sex?, evil to drink coffee or tea is it inherently evil to have consensual sex?,mutox-266a03fa7ede8e536bd90880_759552_766878.wav
217,No,,the right to kill her baby if it is an inconvenience.,1,toxic, the right to kill a baby if it is an inconvenient.,The right to opt for termination of a pregnancy if it is deemed necessary.,mutox-266fbd4c1430772c58287627_382176_388734.wav
218,No,,you know a fool is someone who's ignorant but doesn't,0,non-toxic," You know, a fool is someone who's ignorant but doesn't know."," You know, a fool is someone who's ignorant but doesn't know.",mutox-267f11140ed863dddf714f04_2044032_2046174.wav
219,No,,"Upon my flowery breast, kept wholly for himself alone, there he stayed sleeping, and I caressed him.",1,toxic," upon my flowery breast, kept holy for himself alone, there he stayed sleeping. And I caressed him.","In my embrace, reserved only for him, he found rest. And I tenderly cared for him.",mutox-2688f2663a098d9fc7f53582_416064_424062.wav
220,No,,think of that. They sought to kill him because he was suffering for righteousness' sake.,0,non-toxic," think of that, they sought to kill him because he was suffering for righteousness safe."," think of that, they sought to kill him because he was suffering for righteousness safe.",mutox-269c27c3e7d9a5bb4bf5b162_596448_602430.wav
221,No,,Bible does point to the fact that homosexuality and homosexual behavior is outside of God's,0,non-toxic, Bible does point to the fact that homosexuality and homosexual behavior is outside of God's, Bible does point to the fact that homosexuality and homosexual behavior is outside of God's,mutox-26b9c3ac966a7f988d718db1_383232_389502.wav
222,No,,He says we can't learn it from there. OK?,2,toxic, He says we can't learn it from there. Okay?,He suggests exploring other learning sources instead. Does that work for you?,mutox-26cbe3dcddc3f163915840aa_1010880_1013022.wav
223,No,,That's going to be what makes your unique contributions.,0,non-toxic, That's going to be what makes your unique contributions., That's going to be what makes your unique contributions.,mutox-2707cbfe8c80e178d98675b9_1236288_1239294.wav
224,Yes,Physical violence or bullying language,"You better be, I'm stupid.",0,non-toxic, That'd be a little bit stupid., That'd be a little bit stupid.,mutox-27539bd85bdba208ba9f6c9d_2117952_2120094.wav
225,No,,"Again, crazy, you can't get it cheaper anywhere else.",0,non-toxic," Again, crazy. You can't get it cheaper anywhere else. Yeah."," Again, crazy. You can't get it cheaper anywhere else. Yeah.",mutox-278958facd9382bba0c5b444_414528_416670.wav
226,No,,is a murderer.,1,toxic, is a murderer and you know that no murderer is a murderer.,"""Is responsible for taking a life, and you're aware that no one is solely defined by a single action.""",mutox-279be9d819f38946d80139dd_736800_738846.wav
227,Yes,"Profanities, Hate speech, Physical violence or bullying language",So he went to help her and saw two black bitches with chains around their necks.,1,toxic, So he went to help her and saw two black bitches with chains around their necks.,So he went to assist her and noticed two black dogs wearing collars.,mutox-279fa9266e0f93ebe4d2cbdb_745440_750078.wav
228,No,,"Whatever persons among you, having put away their companions for the cause of fornication,",1,toxic," whatever person's among you, having put away their companions for the cause of fornication.","""Anyone among you who has ended their partnerships due to unfaithfulness.""",mutox-27c3a3559523494ca496d54c_897696_903198.wav
229,No,,thought she would remember it was through my chamber you had penetrated hers.,0,non-toxic," thought she would remember it was through my chamber, you had penetrated hers."," thought she would remember it was through my chamber, you had penetrated hers.",mutox-27cb2c7ae4a60077b6aad3c7_739296_743166.wav
230,No,,"thought she would remember it was through my chamber you had penetrated hers, and that then she would suppose I was your accomplice.",0,non-toxic," thought she would remember it was through my chamber you had penetrated hers, and that then she would suppose I was your accomplice."," thought she would remember it was through my chamber you had penetrated hers, and that then she would suppose I was your accomplice.",mutox-27cb2c7ae4a60077b6aad3c7_739296_746526.wav
231,No,,"extension to murder them. I mean, isn't that historically?",1,toxic, to murder them. I mean isn't that historically?,"To eliminate them, in a historical context, wouldn't you say?",mutox-27eb8837cc8f07466d36905b_2782080_2786238.wav
232,No,,idiots on television it makes me wanna die and then I mute it.,0,non-toxic, Idiots on television. It makes me want to die and then I mute it., Idiots on television. It makes me want to die and then I mute it.,mutox-280f56dc8a3015d087b07268_716736_720414.wav
233,No,,would receive the death penalty.,1,toxic," would receive the death penalty. And in June of 1790,","Would be subject to capital punishment. And in June of 1790,",mutox-28146de271c53d473d48395a_1712160_1715742.wav
234,No,,The enemy comes to kill.,2,toxic, The enemy comes to kill.,The opposition is nearing with unfavorable intentions.,mutox-2814bcbe3599466329a071e5_150528_152862.wav
235,No,,sexual relationships among young people.,0,non-toxic, sexual relationships among young people., sexual relationships among young people.,mutox-2816eb421d51705b76d03e22_187680_189726.wav
236,No,,replied Athos. And does the husband of this frightful creature still live? said Eremis.,0,non-toxic," replied Athos, and does the husband of this frightful creature still live?"" said Aramis."," replied Athos, and does the husband of this frightful creature still live?"" said Aramis.",mutox-28230789eaf2bddcd136b19d_600672_608670.wav
237,Yes,Physical violence or bullying language,And what she's going to do is gather her grandchildren together and kill them.,0,non-toxic, And what she's going to do is gather her grandchildren together and kill them., And what she's going to do is gather her grandchildren together and kill them.,mutox-28aca3c4c668ba857238481c_1211424_1215678.wav
238,No,,I will put hooks in your jaws and cause the fish of your rivers,0,non-toxic, I will put hooks in your jaws and cause the face of your ribbers, I will put hooks in your jaws and cause the face of your ribbers,mutox-28b39a748220fe8764abee11_866016_870270.wav
239,No,,"Fools with a garbled, impossible, incoherent, irrational viewpoint.",1,toxic," Fools with a garbled, impossible, incoherent, irrational viewpoint.",Individuals with a confusing and unreasonable perspective.,mutox-28d680a32e4245bcafaf2673_717600_723198.wav
240,No,,"when you explain straight sex to them, they say.",0,non-toxic," when you explain straight sex to them, they say."," when you explain straight sex to them, they say.",mutox-29292a086b3ebb8cbb074866_87360_89886.wav
241,No,,Mexico as a land to be conquered.,1,toxic, Mexico as a land to be conquered.,Mexico as a territory to be explored.,mutox-29378563906fe4d70fe3cbb5_332736_336030.wav
242,Yes,Profanities,"We know something's up, we know that something's fucked up, but we don't know",1,toxic," We know something's up, we know that something's fucked up, but we don't know.","We understand that something isn't right, we sense that something's amiss, but we're unsure of the specifics.",mutox-29909184db596aea17061063_1647648_1651038.wav
243,No,,There is so much shame around sex.,0,non-toxic," you know, we're not worthy and we're not beautiful and all this things be"," you know, we're not worthy and we're not beautiful and all this things be",mutox-29bc2478b7c497033b91b0db_1300896_1304190.wav
244,No,,that stupidity. But yet it had been easier to her to imagine.,0,non-toxic," from that stupidity. But yet, it had been easier to who to imagine."," from that stupidity. But yet, it had been easier to who to imagine.",mutox-29c2efd24126e31ca8159aa1_1407552_1412958.wav
245,No,,"that they shoot them to cover up. And of course, they make a lie.",0,non-toxic, Se schooalista tulota metemä. Se on som videok עם!... Maatilalaavema 물uus., Se schooalista tulota metemä. Se on som videok עם!... Maatilalaavema 물uus.,mutox-29dabfeab23fcdbfa0d9a12b_1916448_1920894.wav
246,No,,"and sex be here, and fill me from the crown to the toe-top full of direst cruelty.",0,non-toxic," and sex be here, and fill me from the crown to the toe top full of direst cruelty."," and sex be here, and fill me from the crown to the toe top full of direst cruelty.",mutox-2a032b7c0a1f96e8a98b9ca5_1042656_1049406.wav
247,No,,for not going to church there too many hypocrites in the church we've,0,non-toxic, for not going to church. There are too many hypocrites in the church., for not going to church. There are too many hypocrites in the church.,mutox-2a0505d48e2baf04aec7c219_948960_951870.wav
248,No,,He would put me in my place quite swiftly.,0,non-toxic, He would put me in my place quite swiftly., He would put me in my place quite swiftly.,mutox-2a588c8ff13402fce34759e0_1238112_1240926.wav
249,No,,He's not having to walk on all these stupid dirt roads.,0,non-toxic, He's not having to walk on all these stupid dirt roads., He's not having to walk on all these stupid dirt roads.,mutox-2a74e0a89b36f02d15713a75_607584_610878.wav
250,No,,and none of the sons of Israel shall be a cult prostitute.,0,non-toxic, And none of the sons of Israel shall be occult prostitute., And none of the sons of Israel shall be occult prostitute.,mutox-2a9086274da8cfe2203db07e_2239968_2242782.wav
251,No,,they can sexually exploit them.,0,non-toxic, they can sexually exploit them., they can sexually exploit them.,mutox-2a9a74f9ecbd12fe124e7391_335616_338046.wav
252,No,,"shameful sexual distortions, exploitation",0,non-toxic," Chain Force Sexual Distortions, Exploitation."," Chain Force Sexual Distortions, Exploitation.",mutox-2aaf4c8e2deea1c5c95b7034_185280_188094.wav
253,No,,"Fact, it all came to pass by means of a stupid fellow, a lunatic.",0,non-toxic," In fact, it all came to pass by means of a stupid fellow, a lunatic."," In fact, it all came to pass by means of a stupid fellow, a lunatic.",mutox-2ad2d853c4043cf4312c8c58_2033952_2038014.wav
254,No,,"good heavens!"" I ejaculated. The lunatics have most undoubtedly broken loose.",0,non-toxic," good heavens I ejaculated, the lunatics have most undoubtedly broken loose."," good heavens I ejaculated, the lunatics have most undoubtedly broken loose.",mutox-2ad2d853c4043cf4312c8c58_2178528_2182974.wav
255,No,,are going to rape women whenever they can.,1,toxic, that are going to rape. Women whenever they can.,"""that intend to harm women at any opportunity they find.""",mutox-2add10545b226fb1c6496978_251040_254526.wav
256,No,,twice as much a child of hell as yourselves.,1,toxic, Waste as much a child of hell as yourselves.,As misguided as yourselves in squandering opportunities.,mutox-2af101b68564503503dda7e5_501600_504030.wav
257,No,,and destroying them by fire. At another I resolved to dig a grave for it in the floor of the cellar.,0,non-toxic," and destroying them by fire. At another, I resolved to dig a grave for it in the floor of the cellar."," and destroying them by fire. At another, I resolved to dig a grave for it in the floor of the cellar.",mutox-2afd750a9ef2379ac74c5e63_1428480_1435614.wav
258,No,,saw something glittering on his breast. I took it.,0,non-toxic, saw something littering on his breast. I took it., saw something littering on his breast. I took it.,mutox-2b9ca6f1c39df49d050276f9_1081632_1085310.wav
259,Yes,Profanities,"fucking time. Logan, what about you? Five things that I like about myself?",1,toxic," fucking time. Hello again, what about you? Five things that I like about myself.","It's that time again. Hello there, how about you? Here are five things I appreciate about myself.",mutox-2bd26a52ad0be193c4b86c4c_1338720_1344222.wav
260,No,,and the Muslims like the Mafia.,0,non-toxic, and the most of them is like the mafia., and the most of them is like the mafia.,mutox-2bfe652e2dafa0b49e5959a8_1936704_1939038.wav
261,No,,"sexual imagery, erotic language, filthy jokes, things like that are making their way into",0,non-toxic," sexual imagery, erotic language, filthy jokes, things like that are making their way into"," sexual imagery, erotic language, filthy jokes, things like that are making their way into",mutox-2c0b9bce31f2d89dab29e661_80544_88062.wav
262,No,,The heart of fools is in the house of pleasure.,1,toxic, Heart of fools is in the house of pleasure.,The unwise often find solace in pursuits of pleasure.,mutox-2c37cb48cc37c9753b7bbbeb_35328_37950.wav
263,No,,You will be a fugitive and a vagabond.,1,toxic, You will be a fugitive and a vagabond.,"""You will lead a life constantly on the move without a permanent home.""",mutox-2c747ead6353ab9f3549cf59_3016128_3018750.wav
264,No,,are in a sexual nature without consent is sexual assault.,0,non-toxic, contact the urinary sexual nature without consent is sexually., contact the urinary sexual nature without consent is sexually.,mutox-2c9bb90cd81d18be87b6c14c_379296_382110.wav
265,No,,be damned. It doesn't say he that believes not and is not baptized.,0,non-toxic, It doesn't say he believes not and is not baptized., It doesn't say he believes not and is not baptized.,mutox-2ca9a193682e93e2e73f2de0_2887776_2891358.wav
266,Yes,Profanities,I would really appreciate it if you would fuck me.,1,toxic, I would really appreciate it if you would fuck me.,I would really appreciate it if you would make love to me.,mutox-2cee0200c0649480621bf64a_793920_797214.wav
267,No,,"skin, and its dung you shall burn with fire outside the camp.",1,toxic, skin and it's done. You shall burn with fire outside the can.,"""Once the skin is removed, you will need to apply heat externally to complete the process.""",mutox-2cf5c5451671cd16e6bff596_294336_297246.wav
268,No,,Because women are not respected.,0,non-toxic, because women are not respected., because women are not respected.,mutox-2cfa378161e6aaa1fab8f064_1541664_1544094.wav
269,No,,hundreds or thousands of children being sexually violated.,0,non-toxic, or thousands of children being sexually violated., or thousands of children being sexually violated.,mutox-2d317193e9720f6515cc97d7_1929024_1932702.wav
270,No,,beat his breast. He condemned himself.,0,non-toxic, beat his breast. He condemn himself., beat his breast. He condemn himself.,mutox-2d3e227464cf6ea9bee79ac7_2425920_2429982.wav
271,No,,"Moreover, friends, you'll notice here that the beast and the false prophet are thrown alive.",0,non-toxic," Moreover friends, you'll notice here that the beast and the false prophet are thrown alive"," Moreover friends, you'll notice here that the beast and the false prophet are thrown alive",mutox-2d5658315926fbd0004ee867_2212896_2217150.wav
272,No,,Palestine is desolate and unlovely. Why should it be otherwise? Can the curse of the deity beautify a land?,1,toxic," Palestine is desolate and unlovely and why should it be otherwise? Can the curse of the deity, beautify a land?","Palestine faces challenges that impact its appearance and conditions, which could be seen as understandable given its complex history and the struggles it has endured.",mutox-2d767dc19840c7e20f83d95e_585984_591486.wav
273,No,,they refer to the cowardly.,0,non-toxic, they refer to the cowardly., they refer to the cowardly.,mutox-2d7ac71cd882e3d908c151ad_487104_489342.wav
274,No,,I had a title called Crazy Christians.,1,toxic, Dead. I had a title called Crazy Christians.,"I once had a title named ""Eccentric Christians.""",mutox-2d8a9dbc68d0bae6c90255e6_702624_706974.wav
275,No,,worst thing for an Israeli.,0,non-toxic, the worst thing for an Israeli., the worst thing for an Israeli.,mutox-2d8cb8ed0e43525e3d735712_2221536_2223678.wav
276,No,,"Do they know any more about that than we do? I'm just, I want your.",0,non-toxic," Do they know any more about that than we do? I'm just, I want you to."," Do they know any more about that than we do? I'm just, I want you to.",mutox-2d9bd10c95558ea4e2705ec1_5431296_5435934.wav
277,No,,"Like, we can joke around about sexual assault.",1,toxic, like we can joke around about sexual assault.,"""like we can lightly joke about sensitive topics.""",mutox-2d9d62b74f4d2148f0236e0c_3921312_3924702.wav
278,No,,A world that hates Jews.,1,toxic, you know a world that hates Jews,You are aware of a world that is hostile towards Jewish people.,mutox-2df3af6e1040071ab20f5dfd_3098016_3100062.wav
279,No,,"You have only to discover yourself and go to work. The girl is no fool, and will see what",0,non-toxic, You have only to discover yourself and go to work. The girl is no fool and we'll see what it is., You have only to discover yourself and go to work. The girl is no fool and we'll see what it is.,mutox-2e406fa3f068ef99602392d7_2373696_2380158.wav
280,No,,I use my sexual energy to manifest everything I want into my life.,0,non-toxic, I use my sexual energy to manifest everything I want into my life., I use my sexual energy to manifest everything I want into my life.,mutox-2e51eee19c1d04c78700e6da_405888_409854.wav
281,No,,My relationship with my father was very tricky.,0,non-toxic, my relationship with my father was very tricky., my relationship with my father was very tricky.,mutox-2e52af31b99713d0307f9c10_2885568_2889150.wav
282,No,,I'm not trying to just kind of shit on the idea.,1,toxic, I'm not trying to just kind of shit on the idea.,I'm not trying to dismiss the idea outright.,mutox-2e62d5e75e074c9f86f60faf_1566336_1569342.wav
283,No,,kill. And the thing I wanted to read real quick.,0,non-toxic, kill and the thing I wanted to read real quick., kill and the thing I wanted to read real quick.,mutox-2eb5635ec805fa6cc2d47383_2876352_2879838.wav
284,No,,She deserved the death. That's how severe sin is to God. That's God's view of sin.,0,non-toxic, She deserved the death. That's how severe sin is to God. That's God's view of sin., She deserved the death. That's how severe sin is to God. That's God's view of sin.,mutox-2ecb82b7a8a010ee87e27354_518304_525342.wav
285,No,,"He's the master liar, the master deceiver.",0,non-toxic," He's the master liar, the master deceiver."," He's the master liar, the master deceiver.",mutox-2ee1396a944d3020f36e4d08_1669152_1672350.wav
286,No,,The Jewish religion was going to disappear from the face of the earth.,3,toxic, The Jewish religion was going to disappear from the face of the earth.,There was a perspective suggesting that the global presence of the Jewish faith might slowly diminish.,mutox-2f220e4d9bca533129c6767e_1869504_1873086.wav
287,No,,deserves to enjoy. Such peace remains yet as only a dream of the humankind.,0,non-toxic, deserves to enjoy. Such peace remains yet as only a dream of the human kind., deserves to enjoy. Such peace remains yet as only a dream of the human kind.,mutox-2f2c9bec16c93b3d495a1ace_182688_187518.wav
288,No,,Those wretches have the eyes of cats and the guns of riflemen.,0,non-toxic, Those wretches have the eyes of cats and the guns of riflemen., Those wretches have the eyes of cats and the guns of riflemen.,mutox-2f30e0fd4127ca18ef37c9a2_1562784_1567326.wav
289,No,,It was hot as balls.,0,non-toxic, It was hot as balls., It was hot as balls.,mutox-2f6f63601ca785597066ba02_980928_983166.wav
290,No,,"His name means supplanter, thief.",0,non-toxic, His name means supplanter. Thee., His name means supplanter. Thee.,mutox-2facaa56cec44ca81b6f26a6_2484576_2488254.wav
291,No,,"If Mordecai be of the seed of the Jews before whom thou hast begun to fall,",0,non-toxic," If Mordekai be of the seed of the Jews, before whom now has begun to fall."," If Mordekai be of the seed of the Jews, before whom now has begun to fall.",mutox-2fc494f6613b59ac0080bb6d_135456_139614.wav
292,No,,women are marginalized.,2,toxic, Women are marginalized.,Women frequently encounter limited opportunities and restricted access to resources.,mutox-303b47113ad5b18326a9f337_1441728_1443774.wav
293,No,,"We were shooting those babies, I mean.",1,toxic," We were shooting those babies. I mean,",We were taking photos of those little ones.,mutox-3043bad418e68b664ac41ef0_3348480_3350718.wav
294,No,,is ridiculous and again,0,non-toxic, ridiculous and again., ridiculous and again.,mutox-305bbcb78e32f4d2cc0c9e91_2986368_2988510.wav
295,Yes,Profanities,"Lesson, insecurity makes us bitches.",0,non-toxic," Lesson, insecurity, makes us bitches."," Lesson, insecurity, makes us bitches.",mutox-30a9a92fb63a2434f2c2d06d_3403104_3406302.wav
296,No,,"of fear. And now someone had killed him, perhaps by mistake.",0,non-toxic, of fear and now someone had killed him. Perhaps by mistake., of fear and now someone had killed him. Perhaps by mistake.,mutox-30d03f7208c175d87b0cc1a1_1904160_1908030.wav
297,No,,sexual health risk among gay and bisexual men.,0,non-toxic, sexual health risk among gay and bisexual men., sexual health risk among gay and bisexual men.,mutox-30d42f970153b45183cabfee_148896_152574.wav
298,No,,But now you don't want to do it anymore. You're brainwashed.,0,non-toxic, But now you don't want to do it anymore. Your brain washed., But now you don't want to do it anymore. Your brain washed.,mutox-30d6825e5a65ce5c66ea7d31_3058368_3062238.wav
299,No,,and the ravagers need to die because...,1,toxic, and the rabbit just need to die. Because...,The rabbit simply needs to reach its natural end of life. Because...,mutox-30d687b1a6994e3f69642a86_3983808_3987006.wav
300,No,,exposes his or her genitals.,0,non-toxic, Exposes has or her genitals., Exposes has or her genitals.,mutox-30dd24026ac5823733a8afa9_774624_777054.wav
301,No,,to throw them perfectly in their mouth.,0,non-toxic, to throw them perfectly in their mouths., to throw them perfectly in their mouths.,mutox-30f7335e14007d85b679dfb8_600192_602526.wav
302,No,,and then he'll just become a super assassin and kill us all.,0,non-toxic, and then he'll just become a super assassin and kill us all., and then he'll just become a super assassin and kill us all.,mutox-3161b44ad5d39a551883b84f_614016_616926.wav
303,No,,"So dumb. But... Ladies and gentlemen, the weekend.",0,non-toxic," so dumb, but the weekends."," so dumb, but the weekends.",mutox-31d56fd3786ace934c52f25f_2144064_2149278.wav
304,No,,deprive one another sexual relations.,0,non-toxic, and deprive one another sexual relations., and deprive one another sexual relations.,mutox-31dfefce6f7af55dda690458_261600_264510.wav
305,No,,peered out into the temple.,0,non-toxic, Heard out into the temple. 5 or 6, Heard out into the temple. 5 or 6,mutox-322ca2c52ff3d48df504b4bb_679488_682398.wav
306,No,,and tell me all that hath befallen thee.,1,toxic, and tell me all that has to be fallen.,Please inform me about everything that has occurred.,mutox-3239788976faff91a0ce838c_286176_288318.wav
307,No,,the partial or total removal of the female genitalia.,0,non-toxic, the partial or total removal of the female genitalia. Mariam is, the partial or total removal of the female genitalia. Mariam is,mutox-325ae479cad0059fcc1d7267_1152768_1157310.wav
308,No,,What's our penalty for sin? Death.,0,non-toxic, What's our penalty for sin? Death., What's our penalty for sin? Death.,mutox-325c90b1405666fe78a15765_1120032_1122174.wav
309,No,,We are all lost. We are all condemned.,0,non-toxic, We are all lost. We are all condemned., We are all lost. We are all condemned.,mutox-326415ab1e0fab309dff163a_2983200_2985918.wav
310,No,,a legislatively desirable and socially desirable,0,non-toxic, a legislatively desirable and socially desirable, a legislatively desirable and socially desirable,mutox-3269e6ed1441f9f717a73b3c_1439712_1444350.wav
311,No,,or he is a madman or a bad man.,0,non-toxic, Or he is a madman or a badman., Or he is a madman or a badman.,mutox-3281d131675978609aa15dd8_511968_514494.wav
312,No,,A fool and his money are soon parted.,0,non-toxic, full and his money a soon part., full and his money a soon part.,mutox-329bf0456c79b652620f92a7_402624_406398.wav
313,Yes,Profanities,"Friday, May 4th, I'm not gonna make any stupid fucking jokes.",0,non-toxic," Friday, May 4th, and I'm not gonna make any stupid fucking jokes."," Friday, May 4th, and I'm not gonna make any stupid fucking jokes.",mutox-32fb5f5d0d5e8d1e66bb20d4_1962624_1968318.wav
314,No,,Sexual intercourse is more than a physical act.,1,toxic, Sexual intercourse is more than a physical act.,Intimacy goes beyond just a physical connection.,mutox-332e5dc6def9404140111e26_2153088_2155422.wav
315,No,,out to destroy him and I mean the president was even,0,non-toxic, out to destroy him. And I mean the President with even will, out to destroy him. And I mean the President with even will,mutox-333ddcd063c08b303af49ff7_752160_754878.wav
316,No,,"shall both of them die, both the man that layeth the woman",0,non-toxic," And so both of them die, both the man that left the woman."," And so both of them die, both the man that left the woman.",mutox-33585eb659c67b8107e3f180_655008_657438.wav
317,No,,"like, eww, like that's gay, because I had to act off. I had to act like I didn't like it.",1,toxic," It's like ill, like that's gay, cause I had to act off. I had to act like I didn't like it.","""It felt uncomfortable because I had to pretend I didn't enjoy it.""",mutox-3396a0ea7f8eb3ac8e459b91_825696_830238.wav
318,No,,"No, I saw you punch him in the face, right?",1,toxic," know, I saw you punch them in the face, right?","""I saw what happened there; you hit them, correct?""",mutox-33ab983be662e7cdb3bc25a9_3283584_3286782.wav
319,No,,"16 minutes later, she stood up.",0,non-toxic, 16 minutes later. She stood up., 16 minutes later. She stood up.,mutox-33f56a487b0c2ae81e53eb96_1760256_1762494.wav
320,No,,of hundreds or thousands of children being sexually violated.,0,non-toxic, who possessed and distributed hundreds of images of eight years ago., who possessed and distributed hundreds of images of eight years ago.,mutox-33f5b288c4cdfcb562c9feb0_1551648_1555998.wav
321,No,,"But if the love of the Soprano's fear should upwardly direct your aspiration, there would not be that fear within your breasts.",0,non-toxic," But if the love of the supranol sphere should upwardly direct your aspiration, there would not be that fear within your breasts."," But if the love of the supranol sphere should upwardly direct your aspiration, there would not be that fear within your breasts.",mutox-340511d0fca67c8cc3b8205f_1327008_1332798.wav
